==> 4820:  LD (072bh), HL      PC:4823 AF:aeba BC:00a6 DE:4998 HL:f79b SP:f79b IX:0000 IY:0000 Flags:10111010 [22 2b 07]
==> 4823:  LD (0a17h), HL      PC:4826 AF:aeba BC:00a6 DE:4998 HL:f79b SP:f79b IX:0000 IY:0000 Flags:10111010 [22 17 0a]
==> 4826:  EX DE, HL           PC:4827 AF:aeba BC:00a6 DE:f79b HL:4998 SP:f79b IX:0000 IY:0000 Flags:10111010 [eb cd d6]
==> 4827:  CALL 0ad6h          PC:0ad6 AF:aeba BC:00a6 DE:f79b HL:4998 SP:f799 IX:0000 IY:0000 Flags:10111010 [cd d6 0a]
==> 0ad6:  PUSH HL             PC:0ad7 AF:aeba BC:00a6 DE:f79b HL:4998 SP:f797 IX:0000 IY:0000 Flags:10111010 [e5 3e c6]
==> 0ad7:  LD A, c6h           PC:0ad9 AF:c6ba BC:00a6 DE:f79b HL:4998 SP:f797 IX:0000 IY:0000 Flags:10111010 [3e c6 95]
==> 0ad9:  SUB A, L            PC:0ada AF:2e3a BC:00a6 DE:f79b HL:4998 SP:f797 IX:0000 IY:0000 Flags:00111010 [95 6f 3e]
==> 0ada:  LD L, A             PC:0adb AF:2e3a BC:00a6 DE:f79b HL:492e SP:f797 IX:0000 IY:0000 Flags:00111010 [6f 3e ff]
==> 0adb:  LD A, ffh           PC:0add AF:ff3a BC:00a6 DE:f79b HL:492e SP:f797 IX:0000 IY:0000 Flags:00111010 [3e ff 9c]
==> 0add:  SBC A, H            PC:0ade AF:b6a2 BC:00a6 DE:f79b HL:492e SP:f797 IX:0000 IY:0000 Flags:10100010 [9c da e5]
==> 0ade:  JP C, 0ae5h         PC:0ae1 AF:b6a2 BC:00a6 DE:f79b HL:492e SP:f797 IX:0000 IY:0000 Flags:10100010 [da e5 0a]
==> 0ae1:  LD H, A             PC:0ae2 AF:b6a2 BC:00a6 DE:f79b HL:b62e SP:f797 IX:0000 IY:0000 Flags:10100010 [67 39 e1]
==> 0ae2:  ADD HL, SP          PC:0ae3 AF:b6a9 BC:00a6 DE:f79b HL:adc5 SP:f797 IX:0000 IY:0000 Flags:10101001 [39 e1 d8]
==> 0ae3:  POP HL              PC:0ae4 AF:b6a9 BC:00a6 DE:f79b HL:4998 SP:f799 IX:0000 IY:0000 Flags:10101001 [e1 d8 1e]
==> 0ae4:  RET C               PC:482a AF:b6a9 BC:00a6 DE:f79b HL:4998 SP:f79b IX:0000 IY:0000 Flags:10101001 [d8 1e 07]
==> 482a:  LD A, E             PC:482b AF:9ba9 BC:00a6 DE:f79b HL:4998 SP:f79b IX:0000 IY:0000 Flags:10101001 [7b 95 6f]
==> 482b:  SUB A, L            PC:482c AF:0302 BC:00a6 DE:f79b HL:4998 SP:f79b IX:0000 IY:0000 Flags:00000010 [95 6f 7a]
==> 482c:  LD L, A             PC:482d AF:0302 BC:00a6 DE:f79b HL:4903 SP:f79b IX:0000 IY:0000 Flags:00000010 [6f 7a 9c]
==> 482d:  LD A, D             PC:482e AF:f702 BC:00a6 DE:f79b HL:4903 SP:f79b IX:0000 IY:0000 Flags:00000010 [7a 9c 67]
==> 482e:  SBC A, H            PC:482f AF:aeba BC:00a6 DE:f79b HL:4903 SP:f79b IX:0000 IY:0000 Flags:10111010 [9c 67 01]
==> 482f:  LD H, A             PC:4830 AF:aeba BC:00a6 DE:f79b HL:ae03 SP:f79b IX:0000 IY:0000 Flags:10111010 [67 01 f0]
==> 4830:  LD BC, fff0h        PC:4833 AF:aeba BC:fff0 DE:f79b HL:ae03 SP:f79b IX:0000 IY:0000 Flags:10111010 [01 f0 ff]
==> 4833:  ADD HL, BC          PC:4834 AF:aeb9 BC:fff0 DE:f79b HL:adf3 SP:f79b IX:0000 IY:0000 Flags:10111001 [09 cd df]
==> 4834:  CALL 3fdfh          PC:3fdf AF:aeb9 BC:fff0 DE:f79b HL:adf3 SP:f799 IX:0000 IY:0000 Flags:10111001 [cd df 3f]
==> 3fdf:  CALL 3a25h          PC:3a25 AF:aeb9 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:10111001 [cd 25 3a]
==> 3a25:  LD (0a58h), HL      PC:3a28 AF:aeb9 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:10111001 [22 58 0a]
==> 3a28:  LD A, 02h           PC:3a2a AF:02b9 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:10111001 [3e 02 32]
==> 3a2a:  LD (09d1h), A       PC:3a2d AF:02b9 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:10111001 [32 d1 09]
==> 3a2d:  RET                 PC:3fe2 AF:02b9 BC:fff0 DE:f79b HL:adf3 SP:f799 IX:0000 IY:0000 Flags:10111001 [c9 01 80]
==> 3fe2:  XOR A, A            PC:3fe3 AF:0044 BC:fff0 DE:f79b HL:adf3 SP:f799 IX:0000 IY:0000 Flags:01000100 [af cd 70]
